الأمانة,البلدية,البلدية التي درست الطلب,تاريخ اصدار الرخصة ميلادي,تاريخ نهاية الرخصة ميلادي,تاريخ تقديم الطلب,الغرض,حالة الرخصة,حالة الطلب,نوع سند الملكية
أمانة منطقة الجوف,بلدية جنوب سكاكا - قارا,بلدية جنوب سكاكا - قارا,2/28/24 12:00:00 AM,1/26/27 12:00:00 AM,5/8/24 6:16:42 PM,إضافة وتعديل مكونات رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية طبرجل,بلدية طبرجل,9/21/24 12:00:00 AM,8/20/27 12:00:00 AM,9/15/24 7:13:10 PM,إصدار رخصة تصحيح وضع مبنى قائم,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية وسط سكاكا,بلدية وسط سكاكا,5/10/82 12:00:00 AM,5/12/25 12:00:00 AM,5/22/24 10:39:57 AM,إضافة وتعديل مكونات رخصة بناء,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية القريات,بلدية القريات,8/15/24 12:00:00 AM,7/15/27 12:00:00 AM,7/18/24 12:32:18 AM,إصدار رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية طبرجل,بلدية طبرجل,4/22/96 12:00:00 AM,3/22/99 12:00:00 AM,9/3/24 11:27:17 AM,إدخال رخصة انشائية قديمة,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية دومة الجندل,بلدية دومة الجندل,7/21/24 12:00:00 AM,6/20/27 12:00:00 AM,7/17/24 6:06:11 PM,إصدار رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية وسط سكاكا,بلدية وسط سكاكا,4/8/93 12:00:00 AM,1/27/25 12:00:00 AM,2/8/24 11:49:02 AM,إضافة وتعديل مكونات رخصة بناء,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية دومة الجندل,بلدية دومة الجندل,12/1/24 12:00:00 AM,10/29/27 12:00:00 AM,11/20/24 11:27:24 AM,إصدار رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية دومة الجندل,بلدية دومة الجندل,2/27/21 12:00:00 AM,7/26/25 12:00:00 AM,8/4/24 2:51:03 PM,إضافة وتعديل مكونات رخصة بناء,سارية,منتهى,عقد اسكان
أمانة منطقة الجوف,بلدية وسط سكاكا,بلدية وسط سكاكا,11/27/24 12:00:00 AM,10/25/27 12:00:00 AM,11/26/24 6:52:18 PM,إصدار رخصة بناء,سارية,منتهى,صك
